,Time,Data,Attack,knn,Exponentially Weighted Moving Average,Cumulative Sum Algorithm,3A Alarm
764,832,9666,1,1,1,1,1
765,833,10079,1,1,1,1,1
766,834,10197,1,1,1,1,1
767,835,9864,1,1,1,1,1
768,836,10101,1,1,1,0,1
769,837,10124,1,1,1,1,1
770,838,9338,1,1,0,0,0
771,839,9396,1,1,0,1,1
772,840,8517,1,1,1,1,1
773,841,8909,1,1,1,0,1
774,842,8829,1,1,1,1,1
775,843,9893,1,1,1,1,1
776,844,10318,1,1,1,1,1
777,845,9095,1,1,1,1,1
778,846,8825,1,1,1,1,1
779,847,9126,1,1,1,1,1
780,848,9338,1,1,0,1,1
781,849,10316,1,1,1,0,1
782,850,10202,1,1,1,0,1
783,851,10161,1,1,1,1,1
784,852,11000,1,1,1,1,1
785,853,10267,1,1,1,0,1
786,854,10344,1,1,1,1,1
787,855,9802,1,1,1,1,1
788,856,7849,1,1,1,1,1
789,857,6835,1,1,1,1,1
790,858,7750,1,1,1,1,1
791,859,8731,1,1,1,1,1
792,860,8209,1,1,1,1,1
793,861,8019,1,1,1,1,1
794,862,8368,1,1,1,1,1
795,863,7894,1,1,1,1,1
796,864,7386,1,1,1,1,1
797,865,8098,1,1,1,1,1
798,866,7658,1,1,1,1,1
799,867,8126,1,1,1,1,1
800,868,8255,1,1,1,1,1
801,869,6834,1,1,1,1,1
802,870,6805,1,1,1,1,1
803,871,6754,1,1,1,1,1
804,872,7179,1,1,1,1,1
805,873,8473,1,1,1,1,1
806,874,8652,1,1,1,1,1
807,875,9574,1,1,1,1,1
808,876,10053,1,1,1,1,1
809,877,9476,1,1,1,1,1
810,878,8928,1,1,1,1,1
811,879,8777,1,1,1,1,1
812,880,8899,1,1,1,1,1
813,881,9457,1,1,1,1,1
814,882,10515,1,1,1,1,1
815,883,11482,1,1,1,1,1
816,884,8996,1,1,0,1,1
817,885,7369,1,1,1,1,1
818,886,6112,1,1,1,1,1
819,887,6518,1,1,1,1,1
820,888,7366,1,1,1,1,1
821,889,8197,1,1,1,1,1
822,890,8325,1,1,0,1,1
823,891,8553,1,1,1,1,1
824,892,8925,1,1,1,1,1
825,893,9173,1,1,1,1,1
826,894,8445,1,1,0,1,1
827,895,7548,1,1,1,1,1
828,896,6702,1,1,1,1,1
829,897,6787,1,1,1,1,1
830,898,7930,1,1,1,1,1
831,899,6519,1,1,1,1,1
832,900,4199,1,1,1,1,1
833,901,7236,1,1,1,1,1
834,902,7933,1,1,1,1,1
835,903,8639,1,1,1,0,1
836,904,8599,1,1,1,1,1
837,905,9616,1,1,1,1,1
838,906,9513,1,1,1,1,1
839,907,9368,1,1,1,1,1
840,908,8728,1,1,1,0,1
841,909,8877,1,1,1,1,1
842,910,8661,1,1,1,1,1
843,911,7990,1,1,1,1,1
844,912,7598,1,1,1,1,1
845,913,8293,1,1,0,0,0
